3.5.1,python,damerau_levenshtein_distance,8.507975538400933e-05
3.5.1,python,hamming_distance,1.2935570389963687e-06
3.5.1,python,jaro_distance,9.832124717999249e-06
3.5.1,python,jaro_winkler,8.24328296200838e-06
3.5.1,python,levenshtein_distance,1.334742304700194e-05
3.5.1,python,match_rating_codex,2.390746504999697e-06
3.5.1,python,match_rating_comparison,6.7370457770302894e-06
3.5.1,python,metaphone,7.4387006959877905e-06
3.5.1,python,nysiis,5.116211586981081e-06
3.5.1,python,porter_stem,1.3342390916019212e-05
3.5.1,python,soundex,6.302320098970085e-06
3.5.1,C,damerau_levenshtein_distance,7.104635100113228e-07
3.5.1,C,hamming_distance,1.8471858301199973e-07
3.5.1,C,jaro_distance,4.4565051497193053e-07
3.5.1,C,jaro_winkler,4.2507613502675666e-07
3.5.1,C,levenshtein_distance,3.3610744099132717e-07
3.5.1,C,match_rating_codex,3.9425978402141484e-07
3.5.1,C,match_rating_comparison,3.708213310455903e-07
3.5.1,C,metaphone,1.0448696580133401e-06
3.5.1,C,nysiis,5.347897039609961e-07
3.5.1,C,porter_stem,4.4261166302021594e-07
3.5.1,C,soundex,7.677977869752794e-07
